C,S,O,N,P
C,S,O,N,P
C=C,CSC ,CO,,
CCCC,S(=O) ,C(=O)C,,
C#C,CS(=O) C,COC,,
C1=CC=CC=C1 ,SS,COCOCOC,,
C1=CC=C2C=CC=CC2=C1 ,S(=O)(=O),C1CO1 ,,
C1=CC=C(C=C1)C2=CC=CC=C2 ,N=C=S ,C1CCOC1 ,,
C1C2=CC=CC=C2C3=CC=CC=C31,C(=S)C ,C1=COC=C1 ,,
C1C=CC2=CC=CC3=C2C1=CC=C3,CSC ,C(C1C(C(C(C(O1)O)O)O)O)O,,
CC(C)C1=CC=CC=C1 ,C1CCS(=O)(=O)C1 ,C1COCCOCCO1,,
C1CCCC1,,C1COCCO1 ,,
C1CCCCC1,,C1COCCOCCOCCOCCOCCO1,,
